1500
DONNA, A10 (Silver, 8TB), -2, Mauritania, 65230358
JESSICA, X100L (Black, 2TB), -3, Iraq, 3305371564
MELISSA, W20 (Silver, 12TB), 2, Bosnia &amp; Herzegovina, 1666162860
KAREN, N100H (Black, 12TB), 2, New Zealand, 71281509
MARIA, W20 (Silver, 6TB), -3, Zimbabwe, 73128662
DEBORAH, N10 (Silver, 2TB), -3, Bulgaria, 2035460949
MICHELLE, N10 (Silver, 12TB), 2, Philippines, 892520735
DOROTHY, Cast-Fi 7 (Black, 12TB), 0, Montserrat, 1734390947
BETTY, X100L (Black, 8TB), 1, Kenya, 63091382
SUSAN, N10 (Silver, 8TB), -2, Papua New Guinea, 79266334
MICHELLE, N100H (Silver, 6TB), 0, Moldova, 892520735
LINDA, N100H (Silver, 6TB), -3, Cuba, 72439470
RY, X100L (Black, 6TB), -3, St Vincent, 2631
BRENDA, N10 (Black, 6TB), 1, Kazakhstan, 1967385398
KIMBERLY, X100L (Black, 6TB), -3, Guinea, 197582061
KAREN, Cast-Fi 7 (Silver, 4TB), 0, Cambodia, 71281509
SHIRLEY, N100H (Silver, 2TB), 1, Suriname, 2779595522
DOROTHY, FLOW (Black, 4TB), 4, Turkey, 1734390947
CAROL, N10 (Black, 4TB), 4, Uruguay, 63893649
PATRICIA, N10 (Black, 4TB), 4, Samoa, 2026889313
RY, N100H (Silver, 4TB), 4, Greece, 2631
NANCY, W20 (Black, 6TB), 0, British Virgin Islands, 74048177
BETTY, A10 (Silver, 4TB), 0, Greece, 63091382
PATRICIA, A10 (Silver, 12TB), 3, Brunei, 2026889313
MARIA, X100L (Black, 2TB), 3, Monaco, 73128662
PATRICIA, Cast-Fi 7 (Silver, 12TB), -2, Romania, 2026889313
CAROL, Cast-Fi 7 (Black, 2TB), -3, Ethiopia, 63893649
DOROTHY, W20 (Silver, 2TB), 4, Anguilla, 1734390947
MELISSA, A10 (Black, 2TB), -2, Tonga, 1666162860
SHIRLEY, N100H (Silver, 4TB), 2, Burundi, 2779595522
DEBORAH, N100H (Black, 8TB), 0, Uruguay, 2035460949
JENNIFER, W20 (Black, 12TB), -3, Suriname, 5055424187
BETTY, Cast-Fi 7 (Black, 4TB), 1, Armenia, 63091382
LAURA, Cast-Fi 7 (Black, 6TB), 4, St Lucia, 72208303
SANDRA, X100L (Silver, 4TB), 2, Tanzania, 1856327245
DEBORAH, A10 (Silver, 2TB), 2, Argentina, 2035460949
NANCY, N100H (Silver, 12TB), 3, Papua New Guinea, 74048177
KIMBERLY, X100L (Silver, 6TB), -1, Qatar, 197582061
MELISSA, N10 (Black, 2TB), 3, Anguilla, 1666162860
SANDRA, N10 (Black, 8TB), -2, Egypt, 1856327245
CYNTHIA, N10 (Silver, 2TB), -1, Estonia, 2339159772
MELISSA, X100L (Silver, 8TB), -1, Germany, 1666162860
JENNIFER, A10 (Silver, 6TB), 4, Turkmenistan, 5055424187
LISA, FLOW (Black, 8TB), 4, Congo, 2336907
SUSAN, Cast-Fi 7 (Black, 8TB), 1, Angola, 79266334
LINDA, Cast-Fi 7 (Black, 2TB), -1, Uruguay, 72439470
CAROL, Cast-Fi 7 (Silver, 6TB), 0, Zimbabwe, 63893649
RUTH, N100H (Black, 12TB), 4, Cambodia, 2527223
ELIZABETH, FLOW (Black, 8TB), 3, Malta, 2143727456
MARIA, W20 (Black, 2TB), -1, Australia, 73128662
SANDRA, FLOW (Black, 6TB), 1, Portugal, 1856327245
JESSICA, Cast-Fi 7 (Silver, 4TB), 1, Jamaica, 3305371564
ANGELA, X100L (Silver, 4TB), -1, Netherlands, 1935113344
SHIRLEY, X100L (Silver, 8TB), -3, Faroe Islands, 2779595522
RY, W20 (Silver, 4TB), 0, Ukraine, 2631
CAROL, W20 (Black, 6TB), -2, Philippines, 63893649
LISA, FLOW (Silver, 4TB), 2, Peru, 2336907
DONNA, A10 (Silver, 6TB), -1, Swaziland, 65230358
MELISSA, X100L (Silver, 4TB), 1, Ecuador, 1666162860
SHIRLEY, N100H (Silver, 12TB), -3, United Kingdom, 2779595522
BRENDA, A10 (Black, 12TB), 2, Morocco, 1967385398
LINDA, A10 (Silver, 6TB), -1, Malawi, 72439470
MARIA, N100H (Black, 12TB), -1, Guernsey, 73128662
KIMBERLY, W20 (Silver, 8TB), 0, South Korea, 197582061
RY, Cast-Fi 7 (Silver, 6TB), 0, Serbia, 2631
SANDRA, Cast-Fi 7 (Silver, 12TB), 4, Yemen, 1856327245
BARBARA, W20 (Silver, 8TB), -3, Chile, 3910611679
LISA, W20 (Silver, 2TB), 0, Papua New Guinea, 2336907
SANDRA, W20 (Silver, 6TB), -1, Portugal, 1856327245
CAROL, A10 (Silver, 4TB), 3, Bulgaria, 63893649
SANDRA, X100L (Black, 12TB), 2, Japan, 1856327245
JENNIFER, X100L (Silver, 2TB), -3, Timor L'Este, 5055424187
LAURA, Cast-Fi 7 (Black, 2TB), 1, Slovenia, 72208303
SARAH, N100H (Silver, 2TB), 1, Maldives, 78669547
MELISSA, N10 (Black, 8TB), 2, South Africa, 1666162860
SHIRLEY, X100L (Black, 2TB), -1, Trinidad &amp; Tobago, 2779595522
RUTH, Cast-Fi 7 (Silver, 12TB), -3, Madagascar, 2527223
BETTY, Cast-Fi 7 (Silver, 4TB), -2, Tanzania, 63091382
HELEN, Cast-Fi 7 (Silver, 2TB), -3, Mauritania, 68624344
CYNTHIA, N10 (Silver, 2TB), -3, Botswana, 2339159772
MICHELLE, N100H (Black, 2TB), 2, Moldova, 892520735
RY, W20 (Black, 2TB), 0, Sri Lanka, 2631
BARBARA, Cast-Fi 7 (Silver, 2TB), 3, Costa Rica, 3910611679
AMY, X100L (Black, 4TB), 4, Fiji, 64941
DONNA, N100H (Black, 8TB), 0, Nicaragua, 65230358
BRENDA, FLOW (Silver, 12TB), 0, Brazil, 1967385398
JESSICA, X100L (Silver, 2TB), -2, Chad, 3305371564
MARIA, Cast-Fi 7 (Black, 6TB), 4, Austria, 73128662
DONNA, FLOW (Silver, 6TB), 0, Reunion, 65230358
MICHELLE, X100L (Silver, 12TB), 2, Gabon, 892520735
ELIZABETH, W20 (Black, 6TB), 1, Serbia, 2143727456
MELISSA, A10 (Black, 8TB), 1, India, 1666162860
SUSAN, X100L (Silver, 4TB), -2, France, 79266334
RY, N10 (Silver, 6TB), 0, Taiwan, 2631
MELISSA, A10 (Black, 8TB), -2, Finland, 1666162860
MARIA, X100L (Black, 8TB), 0, Bosnia &amp; Herzegovina, 73128662
PATRICIA, W20 (Silver, 2TB), 2, Antigua &amp; Barbuda, 2026889313
SUSAN, A10 (Black, 6TB), 2, St Lucia, 79266334
SUSAN, FLOW (Black, 2TB), 4, Indonesia, 79266334
LISA, X100L (Silver, 12TB), -3, Togo, 2336907
BRENDA, N10 (Silver, 12TB), -3, Cuba, 1967385398
SARAH, N10 (Silver, 6TB), -1, Bangladesh, 78669547
MELISSA, N100H (Black, 12TB), -1, Laos, 1666162860
ELIZABETH, FLOW (Black, 4TB), -1, Armenia, 2143727456
CAROL, A10 (Black, 8TB), 0, Papua New Guinea, 63893649
MARGARET, Cast-Fi 7 (Black, 12TB), -2, Cuba, 3269182743
CAROL, X100L (Black, 12TB), 3, Afghanistan, 63893649
AMY, N10 (Black, 12TB), -3, Saudi Arabia, 64941
SANDRA, N100H (Black, 4TB), -1, Austria, 1856327245
SANDRA, A10 (Silver, 12TB), 0, Congo, 1856327245
BETTY, Cast-Fi 7 (Silver, 12TB), 0, Niger, 63091382
ANGELA, W20 (Silver, 4TB), 2, Hungary, 1935113344
SANDRA, N100H (Silver, 6TB), -1, Georgia, 1856327245
JESSICA, FLOW (Black, 4TB), 1, Djibouti, 3305371564
DOROTHY, Cast-Fi 7 (Black, 4TB), -2, Slovakia, 1734390947
HELEN, N100H (Black, 6TB), -1, Syria, 68624344
HELEN, A10 (Black, 2TB), -3, Guyana, 68624344
BRENDA, W20 (Black, 6TB), 3, Jamaica, 1967385398
ELIZABETH, W20 (Black, 6TB), -2, Moldova, 2143727456
KIMBERLY, X100L (Black, 6TB), 0, Colombia, 197582061
HELEN, W20 (Black, 12TB), -1, Colombia, 68624344
SANDRA, A10 (Silver, 8TB), -3, Armenia, 1856327245
SANDRA, N100H (Silver, 8TB), 3, Namibia, 1856327245
DOROTHY, FLOW (Black, 12TB), -1, Slovakia, 1734390947
SANDRA, A10 (Silver, 12TB), 0, Tajikistan, 1856327245
ELIZABETH, N100H (Silver, 4TB), -2, Guinea Bissau, 2143727456
JESSICA, W20 (Silver, 2TB), -3, Belgium, 3305371564
MARGARET, N10 (Black, 2TB), 4, Netherlands, 3269182743
BRENDA, FLOW (Black, 4TB), -3, Australia, 1967385398
RY, N10 (Silver, 6TB), 3, French Polynesia, 2631
KIMBERLY, X100L (Black, 4TB), 2, Puerto Rico, 197582061
SUSAN, A10 (Silver, 6TB), 2, Mongolia, 79266334
HELEN, X100L (Black, 12TB), -2, Honduras, 68624344
CYNTHIA, N10 (Silver, 4TB), -1, Norway, 2339159772
JENNIFER, FLOW (Black, 8TB), -2, Ukraine, 5055424187
JENNIFER, N10 (Black, 6TB), -3, Afghanistan, 5055424187
SHARON, N100H (Black, 4TB), 3, Qatar, 1850236507
LINDA, Cast-Fi 7 (Silver, 8TB), -3, Lesotho, 72439470
CYNTHIA, X100L (Black, 2TB), 4, Georgia, 2339159772
RY, X100L (Black, 6TB), 2, Isle of Man, 2631
SHARON, X100L (Black, 2TB), -3, Satellite, 1850236507
NANCY, W20 (Black, 2TB), 0, Ecuador, 74048177
SHIRLEY, N100H (Black, 12TB), -1, Netherlands Antilles, 2779595522
DOROTHY, FLOW (Silver, 2TB), 2, Reunion, 1734390947
MICHELLE, X100L (Silver, 4TB), -2, Belize, 892520735
DONNA, N100H (Black, 6TB), 0, Guinea Bissau, 65230358
NANCY, FLOW (Silver, 2TB), 2, Samoa, 74048177
DEBORAH, A10 (Silver, 4TB), 1, Luxembourg, 2035460949
RY, A10 (Black, 8TB), 3, Guam, 2631
ELIZABETH, FLOW (Black, 2TB), -3, Afghanistan, 2143727456
MARGARET, X100L (Black, 12TB), -1, Nepal, 3269182743
RUTH, N10 (Silver, 6TB), 0, Armenia, 2527223
RY, W20 (Black, 12TB), 0, South Africa, 2631
MARGARET, N10 (Silver, 12TB), 0, Congo, 3269182743
SHARON, A10 (Silver, 6TB), 0, Turkey, 1850236507
SHARON, Cast-Fi 7 (Black, 6TB), 1, Japan, 1850236507
BARBARA, X100L (Black, 2TB), 0, Palestine, 3910611679
KAREN, FLOW (Silver, 12TB), -3, China, 71281509
DOROTHY, W20 (Silver, 12TB), 2, Ghana, 1734390947
MARGARET, X100L (Silver, 12TB), -3, Chad, 3269182743
AMY, A10 (Silver, 2TB), 0, Reunion, 64941
SHIRLEY, N10 (Silver, 6TB), 0, Chad, 2779595522
BARBARA, FLOW (Black, 6TB), 0, Brunei, 3910611679
KIMBERLY, W20 (Black, 12TB), 0, Cruise Ship, 197582061
PATRICIA, N10 (Silver, 6TB), -3, Mexico, 2026889313
CAROL, W20 (Black, 6TB), -2, Madagascar, 63893649
DOROTHY, N10 (Silver, 4TB), -2, Cuba, 1734390947
BRENDA, W20 (Black, 12TB), -2, Mauritania, 1967385398
SARAH, N10 (Silver, 6TB), -1, Guernsey, 78669547
KAREN, Cast-Fi 7 (Black, 4TB), 3, Pakistan, 71281509
KIMBERLY, X100L (Black, 4TB), -3, Brazil, 197582061
SHARON, N10 (Silver, 8TB), 1, Bulgaria, 1850236507
LAURA, W20 (Black, 4TB), 3, Seychelles, 72208303
MELISSA, N10 (Black, 12TB), 3, Cyprus, 1666162860
LISA, FLOW (Black, 6TB), 0, Cook Islands, 2336907
RUTH, A10 (Silver, 4TB), -1, Turks &amp; Caicos, 2527223
RUTH, W20 (Silver, 12TB), 2, Anguilla, 2527223
LISA, N10 (Black, 8TB), 3, Nicaragua, 2336907
NANCY, N100H (Black, 4TB), -1, Djibouti, 74048177
ANGELA, W20 (Silver, 2TB), 1, Liberia, 1935113344
LINDA, FLOW (Black, 2TB), 4, Nigeria, 72439470
RY, X100L (Silver, 8TB), 0, Qatar, 2631
SUSAN, FLOW (Black, 12TB), 0, Greenland, 79266334
SHIRLEY, W20 (Black, 6TB), 1, Jersey, 2779595522
ELIZABETH, N100H (Black, 2TB), 2, Kenya, 2143727456
RUTH, X100L (Silver, 12TB), 1, Brazil, 2527223
SANDRA, N100H (Black, 12TB), 1, Cameroon, 1856327245
SHIRLEY, X100L (Black, 12TB), -2, New Caledonia, 2779595522
KIMBERLY, FLOW (Black, 8TB), 4, St Vincent, 197582061
MELISSA, X100L (Black, 2TB), 1, Bosnia &amp; Herzegovina, 1666162860
SANDRA, W20 (Silver, 12TB), 0, Austria, 1856327245
DEBORAH, X100L (Silver, 6TB), 3, Namibia, 2035460949
KAREN, Cast-Fi 7 (Black, 4TB), 0, Jamaica, 71281509
AMY, Cast-Fi 7 (Silver, 12TB), 0, New Caledonia, 64941
PATRICIA, W20 (Black, 2TB), 4, Georgia, 2026889313
BRENDA, Cast-Fi 7 (Silver, 2TB), 3, Malta, 1967385398
CAROL, FLOW (Silver, 8TB), -3, Slovenia, 63893649
KAREN, W20 (Black, 12TB), 4, Andorra, 71281509
CAROL, N10 (Silver, 8TB), 3, Australia, 63893649
SARAH, Cast-Fi 7 (Black, 2TB), -3, Puerto Rico, 78669547
LAURA, Cast-Fi 7 (Black, 12TB), 3, Puerto Rico, 72208303
MICHELLE, N100H (Silver, 4TB), -3, Cuba, 892520735
JENNIFER, A10 (Silver, 6TB), 0, Serbia, 5055424187
DONNA, FLOW (Silver, 2TB), -2, Singapore, 65230358
KIMBERLY, Cast-Fi 7 (Black, 8TB), 4, Sierra Leone, 197582061
BRENDA, X100L (Silver, 2TB), -1, Lesotho, 1967385398
LISA, A10 (Silver, 6TB), 0, Cape Verde, 2336907
AMY, Cast-Fi 7 (Black, 8TB), 1, Satellite, 64941
RUTH, N100H (Silver, 6TB), -2, Chile, 2527223
JENNIFER, FLOW (Black, 8TB), 2, Tanzania, 5055424187
ELIZABETH, Cast-Fi 7 (Silver, 4TB), -2, Montenegro, 2143727456
AMY, X100L (Silver, 8TB), -2, Andorra, 64941
SHARON, W20 (Black, 12TB), 0, Lebanon, 1850236507
KIMBERLY, Cast-Fi 7 (Silver, 8TB), 4, Faroe Islands, 197582061
BRENDA, FLOW (Black, 2TB), -1, Barbados, 1967385398
BRENDA, FLOW (Black, 12TB), 2, China, 1967385398
PATRICIA, A10 (Black, 12TB), -3, Burkina Faso, 2026889313
HELEN, X100L (Black, 4TB), 0, South Africa, 68624344
KIMBERLY, N10 (Black, 2TB), 4, Burundi, 197582061
LINDA, W20 (Silver, 8TB), 1, Jordan, 72439470
ANGELA, FLOW (Black, 6TB), 4, United Kingdom, 1935113344
ELIZABETH, N10 (Black, 12TB), 2, Chad, 2143727456
LISA, W20 (Silver, 8TB), 2, Madagascar, 2336907
BETTY, A10 (Black, 12TB), 0, Slovakia, 63091382
ANGELA, A10 (Black, 8TB), 0, Kyrgyz Republic, 1935113344
LISA, Cast-Fi 7 (Black, 8TB), -1, Antigua &amp; Barbuda, 2336907
ELIZABETH, N100H (Black, 4TB), -2, Madagascar, 2143727456
BARBARA, A10 (Black, 12TB), 2, Finland, 3910611679
SHARON, Cast-Fi 7 (Silver, 2TB), 2, Equatorial Guinea, 1850236507
ANGELA, N10 (Black, 12TB), -1, Philippines, 1935113344
BARBARA, N100H (Silver, 6TB), 3, San Marino, 3910611679
BRENDA, X100L (Silver, 4TB), 2, United Arab Emirates, 1967385398
LAURA, W20 (Black, 4TB), -2, Luxembourg, 72208303
ANGELA, N100H (Silver, 4TB), -3, Fiji, 1935113344
LISA, X100L (Black, 4TB), 0, Colombia, 2336907
DEBORAH, N100H (Black, 8TB), -2, Azerbaijan, 2035460949
SHARON, X100L (Black, 6TB), -2, Netherlands Antilles, 1850236507
SHIRLEY, N100H (Silver, 12TB), 0, Saint Pierre &amp; Miquelon, 2779595522
LINDA, Cast-Fi 7 (Silver, 12TB), 1, Montenegro, 72439470
MICHELLE, Cast-Fi 7 (Silver, 6TB), 2, Colombia, 892520735
SUSAN, N100H (Black, 12TB), 0, Morocco, 79266334
JENNIFER, N10 (Black, 6TB), 0, Czech Republic, 5055424187
DEBORAH, W20 (Black, 4TB), -3, Hong Kong, 2035460949
RY, A10 (Silver, 4TB), 3, El Salvador, 2631
KIMBERLY, N100H (Black, 8TB), 0, Laos, 197582061
RY, FLOW (Black, 8TB), 0, Australia, 2631
MICHELLE, Cast-Fi 7 (Silver, 6TB), -1, Belize, 892520735
AMY, N100H (Black, 12TB), 0, Dominica, 64941
HELEN, N100H (Silver, 2TB), -1, St Lucia, 68624344
MARGARET, X100L (Silver, 2TB), 3, Uzbekistan, 3269182743
RY, Cast-Fi 7 (Black, 8TB), 4, Belarus, 2631
KIMBERLY, W20 (Silver, 12TB), 0, El Salvador, 197582061
DOROTHY, N10 (Black, 8TB), 1, Albania, 1734390947
JESSICA, W20 (Black, 12TB), 4, Timor L'Este, 3305371564
RY, N100H (Silver, 8TB), 2, Nigeria, 2631
LISA, W20 (Black, 2TB), 3, Morocco, 2336907
DONNA, N100H (Black, 12TB), 3, Ukraine, 65230358
SARAH, N10 (Silver, 8TB), -2, Dominican Republic, 78669547
SARAH, Cast-Fi 7 (Black, 6TB), 2, Reunion, 78669547
JESSICA, W20 (Silver, 2TB), 0, Puerto Rico, 3305371564
SHIRLEY, A10 (Black, 12TB), -1, Belgium, 2779595522
RY, X100L (Black, 2TB), 2, Australia, 2631
SANDRA, X100L (Black, 2TB), 4, Gibraltar, 1856327245
SHARON, N10 (Black, 4TB), 0, Yemen, 1850236507
BARBARA, A10 (Black, 12TB), 0, Bosnia &amp; Herzegovina, 3910611679
PATRICIA, FLOW (Silver, 8TB), 0, Ecuador, 2026889313
MICHELLE, N10 (Silver, 12TB), -1, Burundi, 892520735
SHARON, A10 (Silver, 12TB), 2, China, 1850236507
CAROL, A10 (Black, 4TB), -2, Laos, 63893649
CAROL, Cast-Fi 7 (Silver, 6TB), 3, Italy, 63893649
SHIRLEY, W20 (Black, 4TB), -2, Liechtenstein, 2779595522
BARBARA, W20 (Black, 8TB), 1, Malawi, 3910611679
HELEN, A10 (Black, 4TB), 2, British Virgin Islands, 68624344
KIMBERLY, FLOW (Silver, 4TB), -3, Malta, 197582061
KAREN, A10 (Silver, 2TB), 1, Guernsey, 71281509
MARIA, FLOW (Black, 6TB), -3, St Kitts &amp; Nevis, 73128662
LAURA, Cast-Fi 7 (Black, 12TB), -2, Suriname, 72208303
SHARON, FLOW (Black, 8TB), 0, Papua New Guinea, 1850236507
RUTH, W20 (Black, 4TB), -1, Egypt, 2527223
BETTY, N10 (Black, 12TB), 3, Poland, 63091382
SHARON, N100H (Black, 2TB), 4, Netherlands Antilles, 1850236507
LINDA, W20 (Silver, 4TB), 2, Germany, 72439470
SHIRLEY, Cast-Fi 7 (Silver, 6TB), 1, Mongolia, 2779595522
JENNIFER, N100H (Silver, 12TB), -2, Taiwan, 5055424187
NANCY, W20 (Black, 2TB), 4, Equatorial Guinea, 74048177
SARAH, X100L (Black, 4TB), 3, Iran, 78669547
MELISSA, N100H (Black, 8TB), -3, Satellite, 1666162860
RUTH, A10 (Silver, 4TB), -2, Lesotho, 2527223
LISA, Cast-Fi 7 (Silver, 8TB), -1, Vietnam, 2336907
KIMBERLY, N10 (Black, 8TB), -2, Papua New Guinea, 197582061
LAURA, X100L (Silver, 12TB), 0, Turkmenistan, 72208303
CAROL, X100L (Black, 4TB), 1, Faroe Islands, 63893649
MARGARET, N10 (Silver, 12TB), -1, Netherlands, 3269182743
JENNIFER, FLOW (Silver, 6TB), 3, Suriname, 5055424187
LINDA, A10 (Black, 4TB), 1, Yemen, 72439470
RUTH, FLOW (Silver, 12TB), -3, Bulgaria, 2527223
ELIZABETH, Cast-Fi 7 (Silver, 8TB), 4, Montserrat, 2143727456
KAREN, A10 (Silver, 4TB), 4, Tonga, 71281509
CYNTHIA, FLOW (Silver, 2TB), 0, Anguilla, 2339159772
